"Word1","éOìáóRãIïv47_ìêëØ","éOìáóRãIïv49_âºñ ÇÃçêîí","éOìáóRãIïv50_à§ÇÃäâÇ´","éOìáóRãIïv50_ì˙ójì˙","éOìáóRãIïv50_âìèÊâÔ","éOìáóRãIïv50_ê¬ÇÃéûë„","éOìáóRãIïv52_ñßñÚ","éOìáóRãIïv53_óë","éOìáóRãIïv53_í™ëõ","éOìáóRãIïv54_éçÇèëÇ≠è≠îN","éOìáóRãIïv55_íæÇﬂÇÈëÍ","éOìáóRãIïv55_äCÇ∆ó[èƒ","éOìáóRãIïv56_ã‡ätéõ","éOìáóRãIïv57_èóï˚","éOìáóRãIïv60_ïSñúâ~ê˜ñ›","éOìáóRãIïv61_óJçë","éOìáóRãIïv62_ñXéqÇÃâ‘","éOìáóRãIïv62_åé","éOìáóRãIïv63_â¬à£ÇªÇ§Ç»ÉoÉo","éOìáóRãIïv65_åé‡WëëäÔÊù","éOìáóRãIïv66_çrñÏÇÊÇË","éOìáóRãIïv67_éûåv","éOìáóRãIïv69_óñóÀâ§","êÏí[çNê¨26_à…ì§ÇÃóxéq","êÏí[çNê¨29_â∑êÚèh","êÏí[çNê¨32_ùRèÓâÃ","êÏí[çNê¨33_éUÇËÇ ÇÈÇ","êÏí[çNê¨33_ã◊èb","êÏí[çNê¨37_ê·çë","êÏí[çNê¨40_ñÈÇÃÇ≥Ç¢Ç±ÇÎ","êÏí[çNê¨40_ïÍÇÃèâóˆ","êÏí[çNê¨42_ñºêl","êÏí[çNê¨46_çƒâÔ","êÏí[çNê¨46_ê∂ñΩÇÃé˜","êÏí[çNê¨49_êÁâHíﬂ","êÏí[çNê¨49_éRÇÃâπ","êÏí[çNê¨50_ïëïP","êÏí[çNê¨53_îgêÁíπ","êÏí[çNê¨54_Ç›Ç∏Ç§Ç›","êÏí[çNê¨56_èóÇ≈Ç†ÇÈÇ±Ç∆","êÏí[çNê¨60_ñ∞ÇÍÇÈî¸èó","êÏí[çNê¨61_å√ìs","êÏí[çNê¨61_î¸ÇµÇ≥Ç∆à£ÇµÇ›Ç∆","êÏí[çNê¨63_ï–òr","êÏí[çNê¨68_èHÇÃñÏÇ…","êÏí[çNê¨69_ó[ì˙ñÏ","êÏí[çNê¨70_îØÇÕí∑Ç≠","êÏí[çNê¨72_éOìáóRãIïv","êÏí[çNê¨72_óFêlÇÃç»"
"ã∞ï|",4,13,12,0,0,4,23,0,3,0,9,0,5,0,1,0,0,3,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9,15,2,6,5,4,0,1,1,0,0,0,0,0
"é}",2,2,8,0,0,1,0,0,6,0,12,1,8,0,0,0,0,0,0,3,0,0,4,1,1,8,0,0,3,1,1,3,0,4,1,13,3,1,6,2,5,12,12,1,0,0,0,0,0
"ã@",0,8,0,0,1,5,4,0,13,0,15,0,4,2,1,0,0,1,1,0,1,0,1,0,0,1,4,0,2,0,0,3,0,17,0,5,0,0,0,2,0,31,2,1,0,0,0,0,0
"êHéñ",11,7,10,1,1,2,13,0,4,0,17,0,4,4,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,6,5,0,0,26,0,0,5,0,0,0,0,0,0
"à¿êS",12,8,9,0,2,13,14,0,2,1,8,0,15,1,1,1,0,0,1,2,0,0,0,1,1,2,1,0,7,0,0,0,0,4,4,1,0,0,2,4,5,0,1,1,0,0,0,0,0
"òAÇÍ",7,4,9,2,0,5,13,0,1,0,10,4,7,3,1,1,0,1,2,2,1,3,0,11,4,0,2,4,12,0,0,0,2,3,0,3,0,0,0,1,0,2,3,0,0,0,1,0,0
"Ç¢Ç¬Ç©",7,8,1,0,0,3,8,1,6,1,19,0,17,1,1,0,1,1,0,3,2,1,1,0,0,3,0,0,2,0,1,5,0,0,1,3,3,2,6,12,0,2,1,0,0,0,0,0,0
"Ç»Ç≥Ç¢",4,2,7,2,0,8,12,0,6,0,9,1,2,0,1,0,0,1,2,0,0,0,0,10,0,2,1,0,28,3,1,7,0,2,2,0,0,9,0,0,0,0,0,0,0,0,0,0,1
"ó‚ÇΩÇ¢",2,6,3,0,1,8,16,0,8,2,9,0,15,1,1,2,0,1,1,1,0,0,0,3,3,0,0,0,15,0,0,1,0,0,2,2,6,2,8,1,1,0,0,2,0,0,0,0,0
"ñ°",7,13,17,1,1,7,16,3,4,1,7,0,9,1,0,10,0,1,0,1,0,1,0,0,1,1,0,0,0,0,3,3,0,0,0,3,2,0,1,2,3,0,4,0,0,0,0,0,0
"âÆç™",4,2,4,0,0,5,5,1,6,0,14,1,22,0,0,0,0,0,0,2,0,1,0,2,2,1,0,1,19,1,0,0,0,0,1,4,0,2,1,3,1,11,6,1,0,0,0,0,0
"ê´",11,11,4,0,0,14,23,1,0,1,10,0,25,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,1,0,0,1,0,0,1,2,0,0,0,2,6,0,3,0,0,0,0,0,0
"ñ∞Ç¡",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,13,5,6,0,1,2,0,1,2,10,3,4,5,6,40,1,6,8,0,0,1,0,0
"í|",0,0,17,0,0,1,1,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,1,6,8,1,0,1,2,0,0,28,0,1,0,3,12,0,4,2,3,15,4,0,1,0,0,0,0
"Ç©ÇÁÇæ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,14,25,33,8,27,7,0,0,1,0,1
"ë≈Ç¬",2,2,13,0,0,5,12,1,2,0,8,0,9,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,43,0,0,1,0,0,1,2,4,3,1,4,2,0,0,0,0,0
"ñæÇË",1,0,2,0,0,2,9,2,5,0,0,0,7,0,3,2,0,1,0,0,0,1,0,1,0,0,0,0,14,2,0,1,0,0,6,6,8,4,5,11,9,6,8,5,0,0,1,0,0
"Ç∆ÇÁ",10,9,14,0,1,11,13,2,14,2,17,0,16,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0
"ãp",16,14,13,2,5,16,14,0,7,0,7,0,18,1,0,0,1,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ä‚",3,3,2,0,0,4,5,0,24,0,11,0,3,0,0,0,1,0,0,7,2,0,0,1,8,1,0,0,3,7,0,2,0,0,0,1,7,19,2,1,2,0,2,0,0,0,0,0,0
"ó∑",14,8,7,0,0,1,11,0,4,0,1,2,7,0,0,0,0,3,0,0,0,0,0,12,4,1,0,1,6,9,1,1,0,4,2,0,5,8,0,1,5,0,1,0,0,1,1,0,0
"äæ",0,9,8,3,2,4,14,0,9,0,7,2,6,1,1,3,0,1,0,5,0,3,4,2,0,0,0,1,0,0,0,2,0,0,2,1,7,1,7,7,0,2,6,0,0,0,1,0,0
"å©è„Ç∞",3,2,8,0,0,5,4,1,6,0,7,1,6,1,1,1,1,0,1,1,0,0,0,1,3,1,0,3,9,2,2,2,0,2,4,15,11,2,4,1,0,6,4,0,0,0,0,0,0
"ó◊ÇË",0,3,8,3,1,3,6,1,2,0,0,0,6,0,0,1,2,0,0,0,2,0,0,3,5,0,1,0,4,0,2,1,0,0,4,8,3,5,4,18,9,7,9,0,0,0,0,0,0
"çÇÇ≠",4,5,5,0,0,0,5,0,20,0,8,2,12,0,1,1,1,0,0,0,0,0,0,2,0,1,1,0,5,0,0,4,0,0,1,5,4,1,4,7,5,7,9,0,0,0,1,0,0
"Ç∂Ç¡Ç∆",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,2,14,1,2,5,0,2,5,8,10,7,7,18,7,7,9,3,0,0,0,0,0
"Ç¬Ç‘Ç‚Ç¢",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,10,0,0,3,27,19,2,6,18,16,5,5,4,0,0,0,0,0
"ê¢ä‘",12,3,5,0,3,20,18,0,2,1,14,0,14,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,0,2,1,0,0,6,0,0,4,0,0,0,0,0,1
"ìÆÇ´",14,6,13,1,1,5,8,0,3,0,10,0,8,2,1,4,1,2,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,2,8,1,0,5,5,3,6,2,0,0,1,1,0
"à§ìÜ",0,0,0,0,0,119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"í Ç¡",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,5,1,18,1,2,3,3,3,4,10,7,7,6,14,3,8,15,2,1,1,0,0,0
"Ç√Ç©",13,6,20,0,0,6,9,1,10,0,12,1,22,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4,3,0,0,1,0,0,0,0,0,0
"Ç‡ÇøÇÎÇÒ",0,4,1,0,0,5,3,1,1,1,2,0,4,2,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,30,36,2,1,0,1,0,2
"ê»",4,3,1,0,0,2,15,1,1,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,0,2,13,2,3,6,35,1,5,4,0,0,0,0,0,3
"êUÇ¡",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,22,1,2,0,2,7,9,16,1,7,16,7,10,7,3,0,0,0,0,0
"äy",14,0,4,0,11,2,15,2,9,1,1,0,8,0,0,0,0,1,0,0,0,1,1,1,0,0,3,1,1,0,0,6,0,1,8,2,3,5,0,4,2,3,5,0,2,0,2,0,0
"ãCÇ√Ç¢",2,7,14,1,3,3,12,1,3,0,10,0,19,0,1,0,0,0,1,2,2,0,0,1,0,0,0,0,1,0,1,3,1,0,7,10,1,1,2,3,2,1,3,0,0,1,0,0,0
"î˚",9,5,6,0,3,5,6,1,6,0,4,0,8,0,1,5,0,0,1,2,0,1,0,1,0,1,1,1,2,1,0,4,3,0,3,12,0,0,6,0,10,3,7,0,0,1,0,0,0
"íÉòq",0,0,2,0,0,3,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,64,4,2,27,0,1,1,1,1,0,0,0,0,0,0
"â^ì]",5,5,3,1,0,4,7,1,0,0,16,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,5,3,0,0,0,0,0,0,0,4,0,15,6,0,0,5,2,0,0,31,0,0
"ÇµÇ¢",11,12,15,0,0,4,28,1,2,0,8,0,14,2,2,4,0,2,1,2,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"Ç¬Ç©ÇË",7,10,7,1,1,10,11,1,15,1,23,3,7,3,3,5,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ç›ÇΩÇ¢",5,11,6,4,0,11,6,0,4,2,17,0,3,1,0,0,0,1,6,0,0,2,0,0,5,0,4,2,13,0,1,0,1,2,0,1,0,1,4,3,0,1,1,0,0,0,0,0,0
"Ç‡ÇÒ",0,5,6,1,0,7,6,0,15,0,18,0,6,2,0,1,0,3,4,0,0,1,0,3,2,1,5,4,8,0,4,4,1,1,0,2,0,0,5,1,1,0,1,0,0,0,0,0,0
"ÇÌÇ©ÇÈ",5,10,7,0,0,3,5,0,4,0,12,4,10,2,0,2,1,1,4,1,1,2,0,0,0,0,1,0,0,1,0,2,0,1,0,2,2,1,3,14,4,7,4,0,0,0,1,0,1
"àÍï˚",8,7,2,0,0,12,13,2,3,2,6,0,12,1,0,0,0,0,0,2,2,1,0,1,1,0,9,3,2,0,0,5,3,1,3,1,2,1,4,4,2,0,3,0,0,0,0,0,0
"íÜà—",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ë„ÇË",8,5,5,0,1,8,13,2,8,1,17,0,12,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,2,6,0,0,2,6,2,0,0,9,0,0,3,0,0,0,1,0,0
"óFÇæÇø",0,3,1,0,0,1,2,2,6,0,3,1,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,11,9,13,4,31,5,8,1,0,0,0,0,0,1
"éï",1,6,8,0,0,3,11,0,7,0,7,0,5,1,1,1,0,4,2,0,1,2,0,2,2,1,0,0,0,0,0,1,1,0,3,8,2,2,6,6,13,1,9,1,0,0,0,0,0
"íπ",4,2,3,0,1,3,4,0,7,0,5,0,23,0,0,0,2,0,0,0,0,0,0,3,0,1,0,29,3,0,0,3,0,0,0,3,0,0,1,14,6,1,0,0,0,0,0,0,0
"Ç–Ç«Ç≠",1,5,4,0,1,4,8,1,6,0,25,1,18,0,3,1,0,0,1,0,0,2,0,2,1,0,1,3,4,0,0,1,0,1,5,5,1,1,0,8,0,1,2,0,0,0,0,0,0
"É_ÉÄ",0,0,0,2,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"êlÅX",11,11,6,0,1,4,8,1,2,0,2,0,11,0,0,1,8,1,1,2,4,2,0,2,4,0,1,0,6,1,0,5,3,2,0,3,2,0,1,6,0,2,0,0,0,0,0,2,1
"ìıÇ¢",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,5,0,0,2,0,0,10,7,0,3,15,0,48,8,9,2,0,0,0,0,0
"êQè∞",0,3,8,0,0,1,5,0,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,2,5,1,3,2,7,4,4,2,0,0,4,18,8,3,1,8,1,4,6,2,0,0,8,0,0
"ãCÇ™Ç¬Ç¢",2,0,5,0,0,9,9,1,2,0,2,1,4,0,1,0,0,0,0,1,0,0,1,0,0,0,5,1,3,2,0,1,7,1,6,9,2,2,4,15,4,4,11,2,0,0,0,0,0
"ã^",19,3,13,0,0,18,18,0,7,0,14,0,15,3,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"äF",14,15,11,0,1,1,1,1,5,0,23,0,10,0,0,1,0,0,0,0,0,0,1,9,6,5,3,1,4,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ç©Ç∞",2,5,11,0,0,2,3,0,11,0,7,0,14,1,1,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,4,15,6,7,4,4,0,0,0,0,0
"Ç›Ç¶",32,25,4,1,0,6,3,1,8,0,7,2,5,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,5,0,1,0,0,0,1,5,0,1,2,2,0,0,0,0,0,0,0,0,0
"Ç‡ÇÁ",3,5,16,0,2,14,15,1,12,1,11,2,27,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"êVÇµÇ¢",0,1,3,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,2,9,5,0,1,8,1,2,1,6,3,6,6,23,4,12,9,1,0,0,0,1,0
"óléq",11,16,9,1,0,9,5,0,7,0,8,3,3,1,0,0,4,0,2,0,1,1,0,0,0,0,4,1,6,2,4,3,2,1,0,3,0,1,2,2,0,1,3,0,0,0,0,0,0
"î¸ÇµÇ≠",4,7,4,0,2,3,10,0,5,0,5,0,10,2,0,0,0,0,3,1,0,0,0,3,2,0,2,0,5,1,0,1,1,2,1,5,1,5,6,7,6,2,9,1,0,0,0,0,0
"é©ìÆé‘",9,4,16,0,6,1,22,1,3,0,10,0,4,0,1,1,1,1,0,0,0,1,0,1,5,1,6,5,6,0,0,2,0,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0
"Ç®Ç©Ç∞",16,10,13,1,1,19,10,1,5,0,15,0,10,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,1,1,0,1,0,0,0,0
"Ç±ÇÒÇ»Ç…",4,3,2,0,1,2,13,0,2,1,9,0,12,0,2,0,0,2,2,1,0,0,0,4,2,5,1,0,8,0,3,5,2,6,2,2,1,5,1,3,3,0,3,2,0,0,0,0,1
"ÇÃÇπ",13,12,9,0,0,9,6,0,8,0,9,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,0,3,4,12,1,1,3,0,0,1,0,0
"ïsçK",10,10,10,0,1,11,19,0,6,2,22,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,5,2,0,0,1,1,0,0,0,0,0,0,0,0
"ín",7,8,3,3,3,2,9,0,1,0,4,2,11,2,2,1,1,0,1,0,0,0,0,0,2,2,0,0,9,1,0,5,2,3,0,2,1,1,6,9,1,8,1,1,1,0,0,0,0
"äÒÇπ",6,4,3,0,0,1,5,0,4,0,3,1,6,0,0,1,0,0,0,1,0,1,2,1,1,0,1,2,4,1,1,8,1,0,3,8,4,3,7,11,6,2,12,0,0,0,1,0,0
"è…éq",11,3,12,0,1,7,20,0,12,1,15,0,11,1,0,3,2,5,1,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ï‘éñ",14,10,4,0,0,7,7,0,15,1,20,0,6,0,0,0,0,1,1,2,2,2,0,1,0,2,2,0,1,1,0,1,0,1,0,4,0,0,0,7,1,0,2,0,0,0,0,0,0
"[]Åh",13,20,11,2,0,10,15,0,6,0,21,0,11,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ÇªÇÍÇ≈Ç‡",3,5,8,4,0,5,3,0,7,0,5,0,10,0,1,1,0,2,2,1,1,2,0,1,1,0,3,2,5,0,0,6,0,0,2,2,1,2,4,12,3,6,2,0,0,0,1,0,1
"ì~",1,7,4,1,0,3,1,0,1,1,7,0,4,2,1,0,0,0,2,0,1,1,0,5,10,0,0,0,11,0,0,3,0,0,0,9,3,4,2,5,8,9,7,0,0,0,1,0,0
"ëÂäw",8,15,2,0,0,19,6,0,3,0,4,0,21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,11,5,0,2,11,1,1,1,0,0,0,0,0,0
"óŒ",7,10,4,11,0,9,13,0,3,4,9,1,7,0,1,0,1,0,0,1,2,4,0,0,1,3,0,0,3,0,0,2,0,5,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0
"âè",2,3,10,3,1,2,8,0,6,1,6,0,6,3,0,0,1,0,0,0,0,0,0,1,4,0,1,3,8,0,3,6,0,1,7,5,2,2,2,1,3,4,8,0,0,0,0,1,0
"ãÍí…",7,14,19,0,0,4,24,0,2,1,1,0,8,0,0,14,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,4,0,0,3,2,1,0,0,0,1,0,2,2,0,0,0,0,0
"óxÇË",1,7,0,0,0,0,8,0,1,0,5,0,0,1,0,0,0,8,0,0,0,0,0,3,6,0,0,0,1,0,0,0,0,0,0,14,45,0,0,9,2,3,0,0,0,0,0,0,0
"Ç†ÇÁÇ‰ÇÈ",7,12,8,0,2,9,18,0,3,3,12,0,27,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0
"Ç¢ÇØ",2,9,13,0,2,10,8,0,5,1,7,0,3,2,0,0,0,0,5,1,0,1,0,4,2,0,2,0,15,0,2,3,0,2,2,1,0,4,0,1,2,1,0,1,0,0,0,0,2
"ÇÕÇ¡Ç´ÇË",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1,14,3,1,3,1,2,13,21,5,3,5,13,3,3,9,0,0,0,0,0,0
"éÂã`",7,6,4,0,1,35,37,1,0,0,12,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"äÎåØ",19,13,18,0,1,6,12,1,6,0,4,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,1,3,3,0,1,4,4,0,0,1,1,0,0,0,0,0
"óFíB",29,20,6,1,5,10,8,4,0,1,4,0,2,0,1,1,0,1,2,2,0,0,0,1,0,3,1,0,7,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"óp",9,9,10,0,1,13,15,1,3,0,15,0,5,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,2,2,1,1,0,1,2,3,1,0,0,7,0,1,2,0,0,0,2,0,0
"Ç¢Ç¡ÇµÇÂ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,2,12,0,3,2,0,1,5,13,8,6,6,30,1,3,3,0,2,0,0,1,0
"Çª",5,5,8,1,2,10,6,1,8,1,5,0,9,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,1,0,0,20,8,1,6,3,0,0,0,0,1
"Ç∆Ç´Ç«Ç´",0,9,5,0,0,7,9,2,6,0,9,0,6,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,2,5,3,3,4,14,2,7,3,2,0,0,1,0,0
"èÍèä",8,4,3,3,1,6,10,0,11,0,8,1,10,0,1,0,0,1,0,5,3,2,0,0,0,0,0,1,2,0,1,3,0,1,1,6,2,2,5,5,3,0,3,0,0,0,0,0,0
"ëΩÇ¢",3,3,2,0,1,6,2,0,3,0,4,2,5,1,0,0,0,0,2,0,0,0,0,0,1,1,2,0,6,1,1,6,0,3,2,10,5,3,3,9,5,11,8,0,0,0,0,0,1
"ìæ",14,7,5,1,1,9,9,1,6,1,10,0,17,3,0,3,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,2,2,0,2,4,0,2,1,2,0,1,3,0,0,1,0,0,0
"ê⁄ï´",0,27,2,1,0,7,20,0,3,0,9,0,3,0,3,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,12,0,5,1,0,0,0,0,0
"èŒÇ¢",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,5,2,9,1,9,3,1,0,0,0,3,15,6,3,5,20,11,8,5,0,0,0,0,0,0
"Ç∑Ç±Çµ",6,15,28,2,3,10,12,0,11,1,13,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ÇΩÇ—",6,14,7,0,1,5,3,0,4,0,9,0,4,1,0,0,0,4,0,0,0,2,0,0,0,3,0,0,1,0,0,3,1,5,2,2,0,2,7,11,5,6,2,0,0,0,1,0,0
"éñåè",8,8,7,1,3,19,14,0,2,0,5,0,19,0,0,4,0,0,0,1,3,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0
"ì|ÇÍ",0,8,4,0,0,2,4,0,4,0,1,1,7,0,0,0,0,0,0,0,0,0,1,2,8,1,0,3,10,0,3,7,2,0,5,9,4,0,8,11,1,1,4,0,0,0,0,0,0
"è\ï™",5,11,12,1,3,3,9,0,12,1,8,0,7,0,2,1,1,1,0,0,2,1,0,3,2,0,1,1,5,0,0,7,0,0,0,1,1,3,2,3,0,0,2,0,0,0,0,0,0
"ÇﬁÇ©",3,13,13,0,1,10,10,1,18,1,11,0,21,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ñ—",1,5,6,0,1,1,3,1,0,0,3,1,4,1,0,3,0,1,0,0,0,1,0,1,2,0,0,3,2,0,0,13,0,0,6,23,0,2,2,10,5,3,6,0,0,0,0,0,0
"èH",8,4,11,1,0,1,6,0,0,0,3,2,5,1,0,0,0,0,0,0,0,0,1,4,11,0,0,0,9,0,0,4,1,0,0,9,4,4,0,4,1,4,1,0,4,6,1,0,0
"ãÛëz",9,21,7,0,2,7,16,0,3,0,13,0,10,0,0,0,1,0,4,0,0,0,0,3,1,1,0,0,3,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0
"ëfíº",10,0,6,0,0,2,3,0,0,0,4,0,1,1,0,2,0,0,1,0,0,0,0,2,0,2,2,0,14,0,4,3,1,3,14,6,5,4,4,5,4,1,6,0,0,0,0,0,0
"çl",12,11,6,3,2,12,8,0,5,1,9,0,30,0,1,0,1,1,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ëê",8,9,11,0,1,5,6,0,4,0,11,2,15,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,2,8,10,0,2,2,0,0,0,0,0,0
"Ç†ÇÈÇ¢ÇÕ",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,6,10,8,6,4,11,15,5,18,5,2,0,2,0,1
"ÉpÉp",1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ã{éq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0
"óˆ",14,18,8,0,0,6,5,0,2,17,12,0,4,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,3,0,1,6,2,0,5,0,0,0,0,0,0
"éùÇø",3,3,6,1,0,7,2,0,2,0,10,0,6,1,1,2,0,2,2,0,1,0,0,1,3,0,6,1,1,0,1,4,0,1,2,5,2,1,3,7,8,6,5,1,0,0,2,0,0
"êÖìc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"é©óR",5,9,3,1,1,5,17,0,5,0,6,1,8,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,1,3,0,3,0,3,3,10,8,1,1,1,0,4,0,0,0
"ä÷åW",3,9,9,2,0,11,14,0,0,0,22,0,9,1,0,0,0,2,2,0,0,0,0,0,1,0,6,1,1,0,3,2,0,0,0,1,0,1,1,7,0,0,1,0,0,0,0,0,0
"Ç«ÇÃ",3,6,3,0,0,1,8,1,5,0,9,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,2,1,1,2,4,2,7,23,5,5,0,0,1,0,0,0
